image_idx,rgb_file,depth_file,abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3
452,1305031468.428025.png,1305031468.420595.png,0.642137,1.052071,1.548155,1.473773,0.231406,0.439046,0.592732
453,1305031468.459759.png,1305031468.452605.png,0.636774,1.039660,1.540369,1.507712,0.233406,0.442854,0.593773
454,1305031468.495809.png,1305031468.488646.png,0.595397,0.950160,1.506599,1.452132,0.257188,0.464141,0.615364
455,1305031468.527756.png,1305031468.520786.png,0.564082,0.878070,1.468077,1.400880,0.256563,0.496723,0.647065
456,1305031468.559739.png,1305031468.552701.png,0.566207,0.879413,1.474640,1.462984,0.252194,0.465336,0.640493
457,1305031468.595768.png,1305031468.588614.png,0.572644,0.929056,1.537106,1.542622,0.257016,0.464952,0.624469
458,1305031468.627626.png,1305031468.620590.png,0.559522,0.910328,1.538629,1.485814,0.259469,0.470539,0.633077
459,1305031468.659579.png,1305031468.656644.png,0.552420,0.891932,1.523851,1.458419,0.263019,0.474762,0.639580
460,1305031468.695835.png,1305031468.688643.png,0.560071,0.918450,1.555275,1.513363,0.254564,0.466415,0.619325
461,1305031468.727785.png,1305031468.720560.png,0.577684,0.994093,1.636375,1.614003,0.240833,0.444134,0.594065
462,1305031468.759628.png,1305031468.756725.png,0.589033,1.048010,1.698028,1.654366,0.224910,0.434405,0.584751
463,1305031468.795796.png,1305031468.788562.png,0.594040,1.070378,1.723691,1.660953,0.224205,0.419327,0.575769
464,1305031468.829247.png,1305031468.817997.png,0.575374,1.024257,1.703791,1.353841,0.219177,0.419059,0.588996
465,1305031468.859659.png,1305031468.854887.png,0.638393,1.186247,1.822166,1.558092,0.169812,0.363927,0.539341
466,1305031468.895873.png,1305031468.889220.png,0.646145,1.204870,1.832194,1.587816,0.165748,0.360211,0.533206
467,1305031468.928141.png,1305031468.920539.png,0.641371,1.190485,1.815822,1.614889,0.174873,0.363136,0.534797
468,1305031468.959594.png,1305031468.956482.png,0.581658,1.042379,1.716527,1.361697,0.216295,0.411646,0.588478
469,1305031468.995711.png,1305031468.986011.png,0.567575,0.998841,1.674218,1.527650,0.229752,0.434451,0.606937
470,1305031469.027699.png,1305031469.020731.png,0.522351,0.854702,1.531803,1.378391,0.262587,0.480641,0.668826
471,1305031469.059832.png,1305031469.056318.png,0.479857,0.732522,1.402530,1.348362,0.295221,0.536393,0.723166
472,1305031469.095723.png,1305031469.088069.png,0.455447,0.636167,1.281439,1.241667,0.311080,0.568052,0.750035
